"","cells_side","ancestor_1s","batch_id","mean_time","n","sd_time","size_str","size_factor","restraint_value","mean_time_norm","sd_time_norm","mean_rep_rate","rep_rate_diff"
"4306",32,42,16,6944.6394,100,455.916972681907,"32x32","32x32",-18,0.98246189696095,0.064498821038535,1.01785117885315,0.0125867072867125
"4307",32,42,17,6962.0737,100,495.058940324546,"32x32","32x32",-18,0.986018010401289,0.070113740877259,1.014180257816,-0.00367092103714439
"4308",32,42,18,7109.2534,100,532.153413452295,"32x32","32x32",-18,1.0129803338353,0.0758252536631342,0.987185996211642,-0.0269942616043595
"4309",32,42,19,6977.2937,100,472.851826283356,"32x32","32x32",-18,0.997805078538269,0.0676213405867705,1.00219974973964,0.015013753528003
"4310",32,42,20,6913.8771,100,459.637854051822,"32x32","32x32",-18,0.986545641210773,0.0655860257409403,1.01363784727964,0.0114380975399955
"4311",32,42,21,7092.7588,100,501.427799024854,"32x32","32x32",-18,1.01414316708279,0.0716955969469054,0.98605407249997,-0.0275837747796699
"4312",32,42,22,6966.692,100,513.22702744989,"32x32","32x32",-18,0.994428683600127,0.0732582518783665,1.0056025298664,0.0195484573664284
"4313",32,42,23,6943.4339,100,524.582362274876,"32x32","32x32",-18,0.999228614357706,0.0754925753628066,1.00077198113746,-0.00483054872893862
"4314",32,42,24,6899.8858,100,491.41515620074,"32x32","32x32",-18,0.978560477123352,0.0696938273554387,1.02190924667188,0.0211372655344197
"4315",32,42,25,7046.3366,100,501.521886663448,"32x32","32x32",-18,1.01140937570459,0.0719869014336421,0.988719329701053,-0.0331899169708263
"4316",32,42,26,6986.2603,100,487.625852038914,"32x32","32x32",-18,0.998440156161312,0.0696889624708123,1.00156228075269,0.0128429510516406
"4317",32,42,27,6978.3249,100,507.121492825781,"32x32","32x32",-18,1.00134998020496,0.0727690533300627,0.998651839784645,-0.00291044096804882
"4318",32,42,28,7085.8047,100,462.161911521845,"32x32","32x32",-18,1.00863231425021,0.0657866619406795,0.991441564851484,-0.00721027493316129
"4319",32,42,29,6971.093,100,412.902034054402,"32x32","32x32",-18,0.990979139577457,0.0586962908739007,1.00910297710847,0.0176614122569839
"4320",32,42,30,6924.4731,100,497.984372420603,"32x32","32x32",-18,0.995302561870882,0.0715787489508609,1.00471960819661,-0.00438336891185287
"4321",32,43,1,6891.2469,100,830.347252345771,"32x32","32x32",-17,1.00462889760835,0.121050784692717,0.995392430359736,-0.00932717783687853
"4322",32,43,2,7036.7196,100,497.047554060794,"32x32","32x32",-17,1.00080805990797,0.0706933381659238,0.999192592525642,0.00380016216590562
"4323",32,43,3,6929.2859,100,429.07127156807,"32x32","32x32",-17,0.992085917824801,0.0614313758169313,1.00797721450633,0.00878462198068963
"4324",32,43,4,7015.8847,100,456.250690746852,"32x32","32x32",-17,0.998012221725373,0.0649018313450907,1.00199173740697,-0.00598547709935859
"4325",32,43,5,6951.0659,100,420.774565370601,"32x32","32x32",-17,0.990023193184922,0.0599298848280521,1.01007734655486,0.00808560914789136
"4326",32,43,6,6912.6563,100,481.234047950032,"32x32","32x32",-17,0.975597268666031,0.0679175417370526,1.02501311977568,0.0149357732208144
"4327",32,43,7,6992.4119,100,521.313745500604,"32x32","32x32",-17,0.996922567831152,0.0743247745188092,1.00308693199266,-0.0219261877830139
"4328",32,43,8,7033.9721,100,443.432867642495,"32x32","32x32",-17,1.00573331747183,0.0634030392372661,0.994299366072265,-0.00878756592039986
"4329",32,43,9,7021.1564,100,440.780035881111,"32x32","32x32",-17,1.01132198791024,0.0634896186215752,0.988804764411743,-0.00549460166052229
"4330",32,43,10,6906.6191,100,477.930350627261,"32x32","32x32",-17,0.980699529935456,0.0678633153813337,1.01968030928476,0.0308755448730127
"4331",32,43,11,6866.0232,100,379.011489844439,"32x32","32x32",-17,0.978548343117739,0.0540168674946891,1.02192191835297,0.00224160906821491
"4332",32,43,12,6899.962,100,403.194986290377,"32x32","32x32",-17,1.00296170408028,0.0586074431317766,0.997047041708346,-0.0248748766446247
"4333",32,43,13,7031.0128,100,502.590206567473,"32x32","32x32",-17,0.992722430202676,0.070961692924201,1.00733092108722,0.0102838793788693
"4334",32,43,14,7007.8734,100,497.075384196584,"32x32","32x32",-17,0.999969121400242,0.0709287977726233,1.00003087955327,-0.00730004153394015
"4335",32,43,15,7042.0654,100,507.152031620308,"32x32","32x32",-17,1.00481464695091,0.0723642512043407,0.99520842280164,-0.00482245675163495
"4336",32,43,16,7020.2834,100,517.669905756262,"32x32","32x32",-17,0.993163294607847,0.0732350419244076,1.00688376768379,0.0116753448821548
"4337",32,43,17,7019.9897,100,544.239961233039,"32x32","32x32",-17,0.994220483048254,0.0770791041404626,1.00581311394232,-0.00107065374147641
"4338",32,43,18,6976.5734,100,469.489005446121,"32x32","32x32",-17,0.994075081324076,0.0668963536267836,1.00596023256919,0.000147118626868004
"4339",32,43,19,6997.7008,100,485.103186862758,"32x32","32x32",-17,1.00072344615955,0.0693733765953924,0.999277076836437,-0.00668315573274891
"4340",32,43,20,7012.7176,100,492.967679853396,"32x32","32x32",-17,1.00064925674222,0.0703418803636466,0.999351164518588,7.40876821510028e-05
"4341",32,43,21,7045.4642,100,559.807942730181,"32x32","32x32",-17,1.00738084838813,0.0800429587424411,0.992673229394878,-0.0066779351237104
"4342",32,43,22,6992.3866,100,488.425673206179,"32x32","32x32",-17,0.998096342117775,0.069718095653278,1.00190728870741,0.00923405931252852
"4343",32,43,23,6983.5677,100,519.846937707775,"32x32","32x32",-17,1.00500426397726,0.074811101066842,0.995020653984639,-0.00688663472276763
"4344",32,43,24,6989.7521,100,517.638334449358,"32x32","32x32",-17,0.991305558991998,0.0734128694617092,1.00877069731844,0.0137500433337969
"4345",32,43,25,6956.6164,100,470.204517784001,"32x32","32x32",-17,0.998531215517052,0.0674917031050422,1.00147094498412,-0.00729975233431968
"4346",32,43,26,7008.6198,100,474.738231728398,"32x32","32x32",-17,1.00163566015244,0.0678471304916376,0.998367010862823,-0.00310393412129273
"4347",32,43,27,6987.3109,100,561.880821737631,"32x32","32x32",-17,1.00263942015668,0.0806267059483749,0.99736752804287,-0.000999482819953657
"4348",32,43,28,6940.0963,100,501.929315828625,"32x32","32x32",-17,0.987891381227076,0.0714473724366479,1.01225703453135,0.0148895064884809
"4349",32,43,29,7057.0821,100,515.02131442074,"32x32","32x32",-17,1.00320296220198,0.0732131071883155,0.996807264010716,-0.0154497705206343
"4350",32,43,30,6925.5887,100,545.550984880747,"32x32","32x32",-17,0.995462914799111,0.0784158281852508,1.00455776416523,0.00775050015451628
"4351",32,44,1,6954.5708,100,865.376047342717,"32x32","32x32",-16,1.0138604664046,0.126157398954692,0.986329019757768,-0.0182287444074641
"4352",32,44,2,6952.2665,100,477.940998229527,"32x32","32x32",-16,0.988796590364089,0.0679758794408363,1.01133034816775,0.0250013284099838
"4353",32,44,3,7032.0148,100,462.979412879735,"32x32","32x32",-16,1.00679391176738,0.0662861025492944,0.993251933997636,-0.0180784141701162
"4354",32,44,4,6987.9286,100,453.769327773841,"32x32","32x32",-16,0.994035456047942,0.0645488565344296,1.00600033320318,0.0127483992055395
"4355",32,44,5,6985.0626,100,517.388153489186,"32x32","32x32",-16,0.994865259419937,0.0736903201900898,1.00516124221993,-0.000839090983241864
"4356",32,44,6,6893.8853,100,400.210623967271,"32x32","32x32",-16,0.972948079188735,0.0564825408191636,1.027804074431,0.0226428322110699
"4357",32,44,7,7032.3087,100,535.524189614185,"32x32","32x32",-16,1.00261073678817,0.0763507868073204,0.997396061410103,-0.0304080130209006
"4358",32,44,8,7031.7971,100,513.724044623997,"32x32","32x32",-16,1.00542233102855,0.0734534314778901,0.994606912079417,-0.00278914933068586
"4359",32,44,9,6966.5345,100,575.070206641254,"32x32","32x32",-16,1.00345429128815,0.0828326719183161,0.996557599764991,0.0019506876855736
"4360",32,44,10,6973.6421,100,475.365814150768,"32x32","32x32",-16,0.99021640405913,0.0674991661962425,1.00988026041658,0.0133226606515855
"4361",32,44,11,6993.0873,100,486.702408315711,"32x32","32x32",-16,0.996657568924716,0.069365019804878,1.00335364038713,-0.00652662002944715
"4362",32,44,12,6947.8709,100,470.369067862899,"32x32","32x32",-16,1.00992562532863,0.0683717043442302,0.990171924466818,-0.0131817159203114
"4363",32,44,13,7069.6093,100,538.68610950745,"32x32","32x32",-16,0.99817194542434,0.0760581439627959,1.00183140247934,0.0116594780125243
"4364",32,44,14,6875.5836,100,402.749728179331,"32x32","32x32",-16,0.981092394107165,0.0574692590524926,1.01927199314397,0.0174405906646291
"4365",32,44,15,6970.5411,100,501.905980766399,"32x32","32x32",-16,0.994609024002148,0.0716157053676807,1.00542019614517,-0.0138517969987968
"4366",32,44,16,7045.5779,100,481.712155350804,"32x32","32x32",-16,0.996741721221716,0.0681480795007295,1.00326892986308,-0.0021512662820895
"4367",32,44,17,7082.2074,100,556.60690191901,"32x32","32x32",-16,1.00303219280734,0.0788305975568469,0.996976973591595,-0.00629195627148948
"4368",32,44,18,6957.6623,100,457.655183779351,"32x32","32x32",-16,0.991380484393378,0.0652101809799411,1.00869445761977,0.0117174840281716
"4369",32,44,19,6954.646,100,489.67231976026,"32x32","32x32",-16,0.994566288392856,0.0700267967043443,1.00546339813702,-0.00323105948275182
"4370",32,44,20,7028.8668,100,454.086552061822,"32x32","32x32",-16,1.00295359664277,0.0647939068325382,0.997055101399844,-0.0084082967371707
"4371",32,44,21,6938.6783,100,475.685520035904,"32x32","32x32",-16,0.992112291557216,0.0680148914445863,1.00795041903009,0.0108953176302468
"4372",32,44,22,7058.5347,100,543.053104268325,"32x32","32x32",-16,1.0075383510376,0.0775156392162181,0.992518050523999,-0.0154323685060921
"4373",32,44,23,7020.1775,100,455.331928198673,"32x32","32x32",-16,1.01027277524312,0.0655267549514343,0.989831681606341,-0.00268636891765794
"4374",32,44,24,7037.8046,100,479.067759998036,"32x32","32x32",-16,0.998120494585131,0.0679426862105592,1.0018830446074,0.0120513630010638
"4375",32,44,25,6923.5694,100,430.899367140005,"32x32","32x32",-16,0.993787751283608,0.0618499632717764,1.00625108199248,0.00436803738507119
"4376",32,44,26,6953.7178,100,483.067462765802,"32x32","32x32",-16,0.993789350524729,0.069037501073405,1.00624946269749,-1.6192949823246e-06
"4377",32,44,27,6989.5638,100,425.880904374294,"32x32","32x32",-16,1.00296269850825,0.0611114904043618,0.997046053145691,-0.00920340955180254
"4378",32,44,28,6975.4645,100,489.765486664822,"32x32","32x32",-16,0.992925884847655,0.0697159062617996,1.00712451479038,0.0100784616446856
"4379",32,44,29,6943.9376,100,432.458874189083,"32x32","32x32",-16,0.987118850390829,0.0614764030614042,1.01304923880652,0.00592472401614685
"4380",32,44,30,6993.7809,100,444.500489025182,"32x32","32x32",-16,1.00526465283454,0.0638911393098811,0.994762918580993,-0.0182863202255312
"4381",32,45,1,6859.3582,100,856.262156559732,"32x32","32x32",-15,0.999980056840919,0.124828745637942,1.00001994355682,0.00525702497582592
"4382",32,45,2,7018.5082,100,494.222714418543,"32x32","32x32",-15,0.998217916071312,0.0702915710865715,1.0017852654215,0.00176532186468514
